,Time_Step,Service_ID,Service_week,Demand_ID,Containers_Moved,Demand_Announce_time,Demand_Release_time,Demand_Due_time,Storage_hours,delay_hours,Number of transshipments,storage_cost,delay_penalty,handling_cost,transportation_cost,real_objective,Potential_Services,Potential_Requests,Solution_Number,Objective_Value
84,9,"Barge21, Train30",0,Request10,14,9,59,149,0.0,0.0,1,0.0,0.0,588.0,1348.3169,1642.3169,167,9,2,1656.3169000000053
85,9,"Barge22, Train30",0,Request10,14,9,59,149,0.0,0.0,1,0.0,0.0,588.0,1264.3169,1558.3169,168,9,3,1656.3169000000053
86,9,"Barge23, Train30",0,Request10,14,9,59,149,0.0,0.0,1,0.0,0.0,588.0,928.3168999999998,1222.3168999999998,169,9,4,1656.3169000000053
87,9,"Barge08, Barge47, Train30",0,Request10,14,9,59,149,0.0,0.0,2,0.0,0.0,672.0,1346.4045,1640.4045,159,9,5,1696.4045000000042
88,9,"Barge09, Barge47, Train30",0,Request10,14,9,59,149,0.0,0.0,2,0.0,0.0,672.0,1178.4045,1472.4045,162,9,6,1696.4045000000042
89,9,"Barge26, Truck33",0,Request10,14,9,59,149,0.0,0.0,1,0.0,0.0,588.0,1167.6798,1461.6798,563,9,7,1783.6798000000126
90,9,"Barge21, Truck30",0,Request10,14,9,59,149,0.0,0.0,1,0.0,0.0,588.0,1562.5344,1856.5344,560,9,8,1870.534400000004
91,9,Train14,0,Request10,14,9,59,149,0.0,0.0,0,0.0,0.0,504.0,1026.893,1530.893,180,9,9,1936.893000000011
92,9,"Barge22, Truck30",0,Request10,14,9,59,149,0.0,0.0,1,0.0,0.0,588.0,1562.5344,1856.5344,561,9,10,1954.534400000004
93,10,"Barge04, Barge48",0,Request11,15,10,3,151,12.0,0.0,1,12.0,0.0,180.0,1047.5835,1317.5835,60,10,1,1317.583500000008
94,10,"Barge05, Barge48",0,Request11,15,10,3,151,0.0,0.0,1,0.0,0.0,180.0,867.5835000000001,957.5835000000001,62,10,2,1317.583500000008
95,10,"Barge06, Barge48",0,Request11,15,10,3,151,0.0,0.0,1,0.0,0.0,180.0,687.5835000000001,777.5835000000001,64,10,3,1317.583500000008
96,10,"Barge07, Barge48",0,Request11,15,10,3,151,0.0,0.0,1,0.0,0.0,180.0,507.5835,597.5835000000001,66,10,4,1317.583500000008
97,10,Barge26,0,Request11,15,10,3,151,0.0,0.0,0,0.0,0.0,90.0,223.608,313.608,69,10,5,1498.6080000000075
98,10,Barge27,0,Request11,15,10,3,151,0.0,0.0,0,0.0,0.0,90.0,223.608,313.608,70,10,6,1798.6080000000075
99,10,"Barge01, Barge37",0,Request11,15,10,3,151,0.0,0.0,1,0.0,0.0,180.0,1024.57125,1114.57125,54,10,7,1864.5712500000081
100,10,Train09,0,Request11,15,10,3,151,0.0,0.0,0,0.0,0.0,540.0,943.065,1483.065,71,10,8,2053.0650000000023
101,10,"Barge04, Train28",0,Request11,15,10,3,151,0.0,0.0,1,0.0,0.0,630.0,1823.5875,2138.5874999999996,61,10,9,2318.587499999994
102,10,"Barge05, Train28",0,Request11,15,10,3,151,0.0,0.0,1,0.0,0.0,630.0,1643.5875,1958.5874999999999,63,10,10,2318.587499999994
103,11,"Barge17, Truck30",0,Request12,9,11,0,88,12.0,0.0,1,12.0,0.0,378.0,1004.4864,1301.4864,556,11,1,1301.4863999999943
104,11,"Barge18, Truck30",0,Request12,9,11,0,88,0.0,0.0,1,0.0,0.0,378.0,1004.4864,1193.4864,557,11,2,1355.4863999999943
